Org8Codefy,LEANumCode,Org8Code,DistName,fy,eqv,income,cey,townfoundbudget,targetlocacont,mrgf,rlc,townenro,percenttargetcontributionofwealth
000600002015,6,00060000,Alford,2015,"260,009,900.00","17,344,000.00","1,204,519.00","238,041.00","196,384.00",2.96%,"214,237.00",26,16%
000600002016,6,00060000,Alford,2016,"281,265,800.00","19,630,000.00","1,364,086.00","257,395.00","212,351.00",4.26%,"217,857.00",26,16%
000600002017,6,00060000,Alford,2017,"281,265,800.00","38,535,000.00","1,632,982.00","239,087.00","197,247.00",4.03%,"201,656.00",23,12%
000600002018,6,00060000,Alford,2018,"297,724,600.00","29,436,000.00","1,476,201.00","206,450.46","170,322.00",3.07%,"175,951.00",19,12%
000600002019,6,00060000,Alford,2019,"297,724,600.00","19,837,000.00","1,378,223.00","275,789.00","227,526.00",3.43%,"185,505.00",25,17%
000600002020,6,00060000,Alford,2020,"279,820,300.00","14,085,000.00","1,178,023.00","263,079.95","217,041.00",5.10%,"217,041.00",22,18%
000600002021,6,00060000,Alford,2021,"279,820,300.00","18,140,000.00","1,274,494.00","249,430.32","205,780.00",1.84%,"205,780.00",21,16%
000600002022,6,00060000,Alford,2022,"279,886,100.00","18,905,000.00","1,199,283.00","243,289.80","200,714.00",2.69%,"200,714.00",20,17%
000600002023,6,00060000,Alford,2023,"279,886,100.00","16,412,000.00","1,264,394.00","248,350.65","204,889.00",4.02%,"204,889.00",18,16%
000600002024,6,00060000,Alford,2024,"308,074,200.00","18,495,000.00","1,372,289.00","278,259.71","229,564.00",3.05%,"229,564.00",19.4,17%
000600002025,6,00060000,Alford,2025,"308,074,200.00","40,805,000.00","1,787,214.00","279,039.07","230,207.00",3.19%,"230,207.00",19,13%
000600002026,6,00060000,Alford,2026,"387,943,300.00","22,392,000.00","1,609,590.00","307,313.02","253,533.00",3.35%,"253,533.00",20,16%
000700002007,7,00070000,Amesbury,2007,"1,731,430,400.00","375,769,000.00","11,984,666.00","20,849,455.81","11,984,666.00",7.05%,"13,719,448.00","2,660.00",100%
000700002008,7,00070000,Amesbury,2008,"2,174,220,500.00","406,856,000.00","12,817,582.00","20,929,967.00","12,817,582.00",4.79%,"13,986,853.00","2,549.00",100%
000700002009,7,00070000,Amesbury,2009,"2,174,220,500.00","432,926,000.00","13,490,816.00","21,824,902.40","13,490,816.00",4.89%,"14,281,412.00","2,535.00",100%
000700002010,7,00070000,Amesbury,2010,"2,266,894,100.00","469,131,000.00","13,739,040.00","22,242,335.15","13,739,040.00",0.56%,"14,268,035.00","2,484.00",100%
000700002011,7,00070000,Amesbury,2011,"2,266,894,100.00","503,017,000.00","13,583,773.00","22,174,011.79","13,583,773.00",2.30%,"14,292,472.00","2,511.00",100%
000700002012,7,00070000,Amesbury,2012,"2,078,441,100.00","496,432,000.00","13,810,748.00","22,498,383.95","13,810,748.00",3.36%,"14,580,309.00","2,486.00",100%
000700002013,7,00070000,Amesbury,2013,"2,078,441,100.00","479,235,000.00","14,422,481.00","22,922,842.69","14,422,481.00",3.50%,"14,990,399.00","2,438.00",100%
000700002014,7,00070000,Amesbury,2014,"1,960,739,900.00","494,269,000.00","14,606,949.00","23,695,594.30","14,606,949.00",3.98%,"15,440,007.00","2,485.00",100%
000700002015,7,00070000,Amesbury,2015,"1,960,739,900.00","515,354,000.00","14,895,338.00","24,417,753.00","14,895,338.00",3.42%,"15,431,697.00","2,514.00",100%
000700002016,7,00070000,Amesbury,2016,"1,849,252,600.00","520,578,000.00","14,813,871.00","24,286,481.52","14,813,871.00",3.39%,"15,384,352.00","2,458.00",100%
